goos: linux
goarch: amd64
pkg: github.com/kamihama-railway/uwasa
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkOptimizationComparison/StringConcat_Long/None-4                    	 1000000	      1056 ns/op	     232 B/op	      15 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/Basic-4                   	 1000000	      1054 ns/op	     232 B/op	      15 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/Recompiled-4              	 1139625	      1057 ns/op	     232 B/op	      15 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/VM-4                      	 5465614	       220.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/RegisterVM-4              	 2044594	       580.1 ns/op	     104 B/op	       7 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/NeoEx-4                   	 5396800	       222.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat-4                                     	 9088650	       138.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat_VM-4                                  	 8277472	       142.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat_RegisterVM-4                          	 6245088	       183.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat_NeoEx-4                               	 6251103	       184.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkConcatBuiltin/Variables-4                                          	 1619462	       764.4 ns/op	     312 B/op	       7 allocs/op
BenchmarkConcatBuiltin/Variables_VM-4                                       	 2848726	       422.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkConcatBuiltin/Variables_RegisterVM-4                               	 2963970	       406.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkConcatBuiltin/Variables_NeoEx-4                                    	 2834493	       439.1 ns/op	      40 B/op	       2 allocs/op
BenchmarkStringConcatenation/ConstStrings-4                                 	 5224036	       236.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkStringConcatenation/ConstStrings_VM-4                              	 4969590	       208.8 ns/op	      32 B/op	       2 allocs/op
BenchmarkStringConcatenation/ConstStrings_RegisterVM-4                      	 3979922	       297.1 ns/op	      48 B/op	       3 allocs/op
BenchmarkStringConcatenation/ConstStrings_NeoEx-4                           	 4007008	       339.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkLexer-4                                                            	 1961475	       624.9 ns/op	      71 B/op	       1 allocs/op
BenchmarkParser-4                                                           	  218533	      5132 ns/op	    1951 B/op	      46 allocs/op
BenchmarkEngineExecute-4                                                    	 5702976	       208.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_RegisterVM-4                                         	 5653868	       219.1 ns/op	      16 B/op	       1 allocs/op
